review_url,coffee_name,total_score,roaster_location,coffee_origin,roast_level,agtron,est._price
https://www.coffeereview.com/review/kenya-ab-top-lot-single-origin-espresso/,Kenya AB Top Lot Single-Origin Espresso,94,"Taoyuan City, Taiwan","Nyeri growing region, south-central Kenya",Medium-Dark,46/53,NT $1300/16 ounces
https://www.coffeereview.com/review/geisha-s94/,Geisha S94,94,"Hong Kong, China","Boquete growing region, western Panama",Light,61/93,HK $288/100 grams
https://www.coffeereview.com/review/sumatra-mandheling-wahana/,Sumatra Mandheling Wahana,94,"Lexington, Virginia","Lintong growing region, northern Sumatra, Indonesia.",Medium-Light,59/76,$13.50/12 ounces
https://www.coffeereview.com/review/geisha-p-e-b-rfa/,Geisha P.E.B. (RFA),94,"Hong Kong, China","Boquete growing region, western Panama",Medium-Light,56/83,HK $588/100 grams
https://www.coffeereview.com/review/ethiopia-dry-process-grade-1-aricha-yirgacheffe/,Ethiopia Dry Process Grade 1 Aricha Yirgacheffe,95,"Taichung City, Taiwan","Yirgacheffe growing region, southern Ethiopia.",Medium-Light,56/81,TWD $500/100 grams
https://www.coffeereview.com/review/ethiopia-yirgacheffe-ecx/,Ethiopia Yirgacheffe ECX,96,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia.",Light,64/83,$15.50/12 ounces
https://www.coffeereview.com/review/tchembe-single-origin-espresso/,Tchembe Single Origin Espresso,94,"Lee, Massachusetts","Gedeo Zone, southern Ethiopia.",Medium,53/66,$24.95/16 ounces
https://www.coffeereview.com/review/ethiopia-ninety-plus-kemgin/,Ethiopia Ninety Plus Kemgin,96,"Yorktown Heights, New York","Nekempte District, Oromia Region, western Ethiopia.",Medium-Light,52/73,$18.00/12 ounces
https://www.coffeereview.com/review/el-salvador-santa-marta-honey/,El Salvador Santa Marta Honey,94,"Ramsey, Minnesota","San Miguel Department, El Salvador.",Medium-Light,55/79,$16.95/12 ounces
https://www.coffeereview.com/review/rwanda-nyamasheke/,Rwanda Nyamasheke,95,"Jackson, Mississippi","Nyamasheke District, Rwanda.",Medium-Light,56/73,$14.00/12 ounces
https://www.coffeereview.com/review/kenya-riakiberu-peaberry/,Kenya Riakiberu Peaberry,95,"Bedford, New Hampshire","Muranga District, central Kenya.",Medium,45/67,$13.00/12 ounces
https://www.coffeereview.com/review/belekatu-ethiopia-yirgacheffe/,Belekatu Ethiopia Yirgacheffe,94,"Madison, Wisconsin","Yirgacheffe growing region, southern Ethiopia.",Medium-Light,56/78,$14.99/12 ounces
https://www.coffeereview.com/review/yukro-ethiopia/,Yukro Ethiopia,94,"Acton, Massachusetts","Gera District of Oromia Region, western Ethiopia.",Medium-Light,57/72,$21.00/12 ounces
https://www.coffeereview.com/review/kenya-nyeri-gaturiri-peaberry/,Kenya Nyeri Gaturiri Peaberry,95,"Yorktown Heights, New York","Nyeri growing region, south-central Kenya",Medium,49/69,$16.00/12 ounces
https://www.coffeereview.com/review/rutana-burundi-espresso/,Rutana Burundi Espresso,94,"Madison, Wisconsin",Burundi,Medium-Dark,46/55,$13.99/12 ounces
https://www.coffeereview.com/review/la-esmeralda-mario-carnaval-2012-panama/,La Esmeralda Mario Carnaval 2012 Panama,96,"Acton, Massachusetts","Boquete growing region, western Panama",Light,66/86,NA
https://www.coffeereview.com/review/sumatra-wahana-natural/,Sumatra Wahana Natural,94,"Portland, Maine","Lintong growing region, northern Sumatra, Indonesia.",Medium-Light,59/69,$16.20/12 ounces
https://www.coffeereview.com/review/harfusa-ethiopia-yirgacheffe-fair-trade-organic/,Harfusa Ethiopia Yirgacheffe Fair Trade Organic,94,"Madison, Wisconsin","Yirgacheffe growing district, southern Ethiopia.",Medium-Light,56/73,$14.99/12 ounces
https://www.coffeereview.com/review/kenya-mukurweini-kamuchuni-aa/,Kenya Mukurweini Kamuchuni AA,94,"Seattle, Washington","Mukurweini District, Central Kenya.",Medium,53/63,$18.00/12 ounces
https://www.coffeereview.com/review/sweet-breeze/,Sweet Breeze,94,"New Taipei City, Taiwan",Kenya; Yirgacheffe region of Ethiopia; other undisclosed origins.,Medium-Light,58/76,NTD $500/8 ounces
https://www.coffeereview.com/review/washed-yirgacheffe/,Washed Yirgacheffe,94,"New Taipei City, Taiwan","Yirgacheffe growing region, southern Ethiopia.",Light,61/81,NTD $400/8 ounces
https://www.coffeereview.com/review/ninety-plus-sillvia-sk-l95/,Ninety Plus Sillvia SK L95,94,"Hong Kong, China","Silla Del Pando, Volcan, Panama.",Medium-Light,55/75,$40.00/100 grams
https://www.coffeereview.com/review/mexico-santa-teresa-bcs-02-cabernet-franc-barrel/,Mexico Santa Teresa BCS 02: Cabernet Franc Barrel,95,"Annapolis, Maryland","Chiapas State, Mexico",Medium-Light,58/79,$20.00/12 ounces
https://www.coffeereview.com/review/yirgacheffe-blue-nile/,Yirgacheffe Blue Nile,94,"Emeryville, California","Yirgacheffe growing region, southern Ethiopia.",Medium-Light,54/73,$17.50/16 ounces
https://www.coffeereview.com/review/yirgacheffe-belekatu/,Yirgacheffe Belekatu,95,"Denver, Colorado","Yirgacheffe growing region, southern Ethiopia.",Medium-Light,52/70,$15.00/12 ounces
https://www.coffeereview.com/review/ethiopia-yirgacheffe-kochere/,Ethiopia Yirgacheffe Kochere,94,"Ramsey, Minnesota","Yirgacheffe growing region, southern Ethiopia.",Medium-Light,53/69,$14.95/12 ounces
https://www.coffeereview.com/review/mario-san-jose-geisha/,Mario San Jose Geisha,94,"Topeka, Kansas","Boquete growing region, western Panama",Medium-Light,54/71,$67.40/8 ounces
https://www.coffeereview.com/review/perci-red-panama-gesha/,Perci Red Panama Gesha,97,"Lee, Massachusetts","Silla Del Pando, Volcan, Panama.",Medium,52/67,$75.95/16 ounces
https://www.coffeereview.com/review/panama-don-pachi-natural-geisha-3/,Panama Don Pachi Natural Geisha,96,"Topeka, Kansas","Boquete growing region, western Panama",Light,62/86,$59.99/8 ounces
https://www.coffeereview.com/review/kenya-kamviu/,Kenya Kamviu,95,"Sacramento, California","Embu District, Central Highlands, Kenya.",Medium,52/61,$16.50/12 ounces
https://www.coffeereview.com/review/panama-la-esmeralda-especial/,Panama La Esmeralda Especial,95,"Newport Beach, California","Boquete growing region, western Panama",Medium-Light,57/74,$39.95/10 ounces
https://www.coffeereview.com/review/jingle-bell-natural-yirgacheffe/,Jingle Bell Natural Yirgacheffe,95,"Taipei City, Taiwan","Yirgacheffe growing region, southern Ethiopia.",Light,58/84,$10.00/8 ounces
https://www.coffeereview.com/review/rwanda-abakundakawa-2/,Rwanda Abakundakawa,94,"Viroqua, Wisconsin","Gakenke District, Rwanda.",Medium-Light,58/82,$14.75/12 ounces
https://www.coffeereview.com/review/ethiopia-nekisse-2/,Ethiopia Nekisse,94,"Oakland, California","Sidama (also Sidamo) growing region, southern Ethiopia.",Light,63/79,$15.00/5.3 ounces
https://www.coffeereview.com/review/finca-el-injerto-patagonia-guatemala/,"Finca El Injerto Patagonia, Guatemala",94,"Topeka, Kansas","Huehuetenango growing region, Guatemala.",Medium-Light,59/78,$19.95/8 ounces
https://www.coffeereview.com/review/colombia-geisha/,Colombia Geisha,94,"Waterbury, Vermont","Valle del Cauca growing region, Colombia.",Medium,46/68,$24.99/10 ounces
